kind,block_index,coeff_norm_mean,proj_norm_mean,relative_proj_mean,max_coeff_mean
dual,0,32.6683406829834,32.66834211349487,0.35368866473436356,0.2988852858543396
dual,1,32.533625793457034,32.533627605438234,0.34422202259302137,0.27608875930309296
dual,2,28.236928844451903,28.236929893493652,0.3961090311408043,0.2770394369959831
dual,3,31.320653629302978,31.320654296875,0.3537414982914925,0.25235253274440766
dual,4,32.34513959884644,32.345138263702395,0.37060338258743286,0.2815583869814873
dual,5,32.03713245391846,32.037131786346436,0.39583883583545687,0.2896624654531479
dual,6,47.73747310638428,47.737474060058595,0.42321333587169646,0.2951162070035934
dual,7,35.534655284881595,35.5346565246582,0.4197825327515602,0.2940066523849964
dual,8,45.76670246124267,45.76670341491699,0.43941878378391264,0.31884285658597944
dual,9,47.80312957763672,47.80312938690186,0.47581380158662795,0.3567377179861069
dual,10,58.596130561828616,58.59613265991211,0.45198043435811996,0.33727318197488787
dual,11,56.01960277557373,56.01960468292236,0.42542955428361895,0.3008817084133625
dual,12,73.6289291381836,73.62893199920654,0.4504270270466805,0.31832877844572066
dual,13,58.011423683166505,58.01142559051514,0.4431867450475693,0.31233555674552915
dual,14,42.416116046905515,42.41611566543579,0.3965292885899544,0.29665779918432233
dual,15,34.140420055389406,34.140422630310056,0.3965684324502945,0.29951673522591593
dual,16,58.348497581481936,58.348497581481936,0.4615745976567268,0.31806319653987886
dual,17,66.10882377624512,66.1088264465332,0.44593728333711624,0.33427993655204774
dual,18,77.66125984191895,77.66126174926758,0.47235202342271804,0.34256721287965775
single,0,41.63121070861816,41.631212043762204,0.48626340329647066,0.3656396508216858
single,1,38.314575862884524,38.31457691192627,0.4669111296534538,0.3267673045396805
single,2,35.29915142059326,35.299151706695554,0.49521044045686724,0.36057072728872297
single,3,29.600480365753175,29.600480937957762,0.49058478474617007,0.37794258147478105
single,4,31.269350051879883,31.269350910186766,0.5152964279055595,0.3795927718281746
single,5,31.15041055679321,31.15041103363037,0.530929508805275,0.38313000798225405
single,6,28.451504230499268,28.45150556564331,0.48630978614091874,0.36461531072854997
single,7,26.32373809814453,26.323739051818848,0.5316152855753898,0.42392259240150454
single,8,27.544834041595458,27.54483480453491,0.5455663621425628,0.409265898168087
single,9,26.208651065826416,26.208652019500732,0.486454613506794,0.3821616142988205
single,10,25.018384552001955,25.018384742736817,0.5157356858253479,0.3945868700742722
single,11,24.647632694244386,24.647633266448974,0.49444950222969053,0.363773712515831
single,12,23.883119678497316,23.883119106292725,0.4976022869348526,0.3716321483254433
single,13,24.9917423248291,24.99174270629883,0.49254544228315356,0.35347657054662707
single,14,24.258573246002197,24.258574199676513,0.4700759246945381,0.3414478972554207
single,15,26.797924423217772,26.797925662994384,0.4579704478383064,0.33008266538381575
single,16,24.80832986831665,24.808330821990968,0.455973219871521,0.32407630085945127
single,17,22.191841506958006,22.191841506958006,0.42725741416215895,0.31949569582939147
single,18,20.33845386505127,20.33845453262329,0.4340246543288231,0.33532234728336335
single,19,18.088131141662597,18.088131284713747,0.4168114274740219,0.3005596652626991
single,20,19.514075803756715,19.51407675743103,0.40931957215070724,0.30168450996279716
single,21,19.767192792892455,19.76719307899475,0.42524861693382265,0.31729225590825083
single,22,19.14441418647766,19.144414758682252,0.43737923800945283,0.3310037061572075
single,23,23.850727224349974,23.850727987289428,0.395059397816658,0.2923434339463711
single,24,24.35543203353882,24.355433464050293,0.39915658682584765,0.2772610902786255
single,25,26.027955961227416,26.027956867218016,0.43223000019788743,0.3221719078719616
single,26,21.428667736053466,21.42866849899292,0.4029239222407341,0.2930722273886204
single,27,20.688487195968627,20.688487482070922,0.4166160970926285,0.315035779774189
single,28,18.862095499038695,18.862095642089844,0.406204055249691,0.3011858336627483
single,29,19.200862073898314,19.20086250305176,0.40610051453113555,0.2769856110215187
single,30,21.89681248664856,21.896812868118285,0.41606339663267133,0.30773029699921606
single,31,21.58624134063721,21.586241912841796,0.4091637447476387,0.3030236691236496
single,32,23.294528198242187,23.294528770446778,0.41774485558271407,0.30844103544950485
single,33,24.377851581573488,24.377851963043213,0.4439517676830292,0.3300899237394333
single,34,26.093249988555907,26.0932505607605,0.42153177708387374,0.29767895117402077
single,35,26.517863178253172,26.51786365509033,0.44139519333839417,0.3001192420721054
single,36,24.000379467010497,24.000379419326784,0.4529292084276676,0.3088306725025177
single,37,32.92897100448609,32.92897176742554,0.48102697134017947,0.34517865180969237
