kind,label,block_index,measurement_index,coeff_norm_mean,proj_norm_mean,relative_proj_mean,max_coeff_mean
dual,Donald Trump,0,0,51.88885498046875,51.88885498046875,0.4894704520702362,0.4342641830444336
dual,Donald Trump,0,1,46.625694274902344,46.625694274902344,0.48550945520401,0.42031776905059814
dual,Donald Trump,0,2,45.392791748046875,45.392791748046875,0.48813503980636597,0.41235214471817017
dual,Donald Trump,0,3,45.39183807373047,45.391841888427734,0.49446821212768555,0.40216588973999023
dual,Donald Trump,0,4,51.88885498046875,51.88885498046875,0.4894704520702362,0.4342641830444336
dual,Donald Trump,0,5,46.625694274902344,46.625694274902344,0.48550945520401,0.42031776905059814
dual,Donald Trump,0,6,45.392791748046875,45.392791748046875,0.48813503980636597,0.41235214471817017
dual,Donald Trump,0,7,45.39183807373047,45.391841888427734,0.49446821212768555,0.40216588973999023
dual,Donald Trump,0,8,51.88885498046875,51.88885498046875,0.4894704520702362,0.4342641830444336
dual,Donald Trump,0,9,46.625694274902344,46.625694274902344,0.48550945520401,0.42031776905059814
dual,Donald Trump,0,10,45.392791748046875,45.392791748046875,0.48813503980636597,0.41235214471817017
dual,Donald Trump,0,11,45.39183807373047,45.391841888427734,0.49446821212768555,0.40216588973999023
dual,Donald Trump,0,12,51.88885498046875,51.88885498046875,0.4894704520702362,0.4342641830444336
dual,Donald Trump,0,13,46.625694274902344,46.625694274902344,0.48550945520401,0.42031776905059814
dual,Donald Trump,0,14,45.392791748046875,45.392791748046875,0.48813503980636597,0.41235214471817017
dual,Donald Trump,0,15,45.39183807373047,45.391841888427734,0.49446821212768555,0.40216588973999023
dual,Donald Trump,0,16,51.88885498046875,51.88885498046875,0.4894704520702362,0.4342641830444336
dual,Donald Trump,0,17,46.625694274902344,46.625694274902344,0.48550945520401,0.42031776905059814
dual,Donald Trump,0,18,45.392791748046875,45.392791748046875,0.48813503980636597,0.41235214471817017
dual,Donald Trump,0,19,45.39183807373047,45.391841888427734,0.49446821212768555,0.40216588973999023
dual,Donald Trump,1,0,53.655792236328125,53.655799865722656,0.49485713243484497,0.42320960760116577
dual,Donald Trump,1,1,49.26224899291992,49.26224899291992,0.5129576921463013,0.4106367528438568
dual,Donald Trump,1,2,48.42797088623047,48.42797088623047,0.5259819030761719,0.40320587158203125
dual,Donald Trump,1,3,48.248748779296875,48.248748779296875,0.5377367734909058,0.3932001292705536
dual,Donald Trump,1,4,53.601287841796875,53.601295471191406,0.49561402201652527,0.4238407611846924
dual,Donald Trump,1,5,49.33453369140625,49.33454132080078,0.5134419202804565,0.4102886915206909
dual,Donald Trump,1,6,48.499874114990234,48.4998779296875,0.5262161493301392,0.40146884322166443
dual,Donald Trump,1,7,48.854454040527344,48.85445785522461,0.5420057773590088,0.39062780141830444
dual,Donald Trump,1,8,53.635650634765625,53.635650634765625,0.4946833848953247,0.4232182502746582
dual,Donald Trump,1,9,49.11088180541992,49.11088562011719,0.5100792646408081,0.40985605120658875
dual,Donald Trump,1,10,48.23765563964844,48.23766326904297,0.5235115885734558,0.4028777480125427
