kind,label,block_index,measurement_index,coeff_norm_mean,proj_norm_mean,relative_proj_mean,max_coeff_mean
dual,Van Gogh,3,12,41.63682174682617,41.63682174682617,0.38335615396499634,0.34783220291137695
dual,Van Gogh,3,13,35.91387176513672,35.91387176513672,0.41684964299201965,0.3144223988056183
dual,Van Gogh,3,14,33.27416229248047,33.274166107177734,0.42668139934539795,0.3045748770236969
dual,Van Gogh,3,15,33.20357894897461,33.20357894897461,0.45618078112602234,0.28954729437828064
dual,Van Gogh,3,16,41.37686538696289,41.37686538696289,0.3852825164794922,0.33956223726272583
dual,Van Gogh,3,17,34.54447555541992,34.54447555541992,0.40173158049583435,0.32059961557388306
dual,Van Gogh,3,18,30.320329666137695,30.32033348083496,0.39120981097221375,0.3029731214046478
dual,Van Gogh,3,19,28.99407386779785,28.99407386779785,0.4059702754020691,0.2832674980163574
dual,Van Gogh,4,0,50.594932556152344,50.59493637084961,0.4653419554233551,0.3988199830055237
dual,Van Gogh,4,1,35.32361602783203,35.32361602783203,0.45009803771972656,0.33171433210372925
dual,Van Gogh,4,2,30.90690040588379,30.90690040588379,0.44184809923171997,0.31919389963150024
dual,Van Gogh,4,3,31.43814468383789,31.43814468383789,0.48093318939208984,0.31501081585884094
dual,Van Gogh,4,4,49.92761993408203,49.9276237487793,0.4646133780479431,0.4015309810638428
dual,Van Gogh,4,5,34.92293930053711,34.92293930053711,0.44923052191734314,0.33078888058662415
dual,Van Gogh,4,6,30.75651741027832,30.75651741027832,0.4419550895690918,0.32058456540107727
dual,Van Gogh,4,7,31.408044815063477,31.40804672241211,0.480158269405365,0.31783947348594666
dual,Van Gogh,4,8,51.34962844848633,51.34962844848633,0.47379112243652344,0.4063166081905365
dual,Van Gogh,4,9,34.95662307739258,34.95662307739258,0.4437468945980072,0.33612456917762756
dual,Van Gogh,4,10,30.083669662475586,30.08367347717285,0.42819082736968994,0.3123411238193512
dual,Van Gogh,4,11,30.16448974609375,30.164493560791016,0.46068158745765686,0.3048588037490845
dual,Van Gogh,4,12,50.0930061340332,50.0930061340332,0.4616575837135315,0.39782196283340454
dual,Van Gogh,4,13,35.59743118286133,35.59743118286133,0.4496597349643707,0.3263806700706482
dual,Van Gogh,4,14,31.466196060180664,31.466196060180664,0.4431174695491791,0.3129517138004303
