kind,label,block_index,measurement_index,coeff_norm_mean,proj_norm_mean,relative_proj_mean,max_coeff_mean
dual,goldfish,1,4,35.55913543701172,35.559139251708984,0.32741081714630127,0.28733205795288086
dual,goldfish,1,5,31.552453994750977,31.552453994750977,0.3351033627986908,0.27974167466163635
dual,goldfish,1,6,30.9062442779541,30.90625,0.345731258392334,0.2716814875602722
dual,goldfish,1,7,31.34705924987793,31.34705924987793,0.3600993752479553,0.2619950473308563
dual,goldfish,1,8,35.401214599609375,35.401214599609375,0.3254677355289459,0.2861432135105133
dual,goldfish,1,9,31.253408432006836,31.2534122467041,0.33253031969070435,0.2764380872249603
dual,goldfish,1,10,30.712507247924805,30.712507247924805,0.3448145091533661,0.2696227729320526
dual,goldfish,1,11,31.141931533813477,31.141935348510742,0.3597290813922882,0.26127859950065613
dual,goldfish,1,12,35.571834564208984,35.57183837890625,0.3270598351955414,0.28758159279823303
dual,goldfish,1,13,31.715978622436523,31.715978622436523,0.33605191111564636,0.2805705666542053
dual,goldfish,1,14,30.92451286315918,30.92451286315918,0.34594541788101196,0.2712555229663849
dual,goldfish,1,15,31.109766006469727,31.109766006469727,0.3581239581108093,0.26111605763435364
dual,goldfish,1,16,35.40974807739258,35.40974807739258,0.3254883289337158,0.28657370805740356
dual,goldfish,1,17,32.33026123046875,32.33026123046875,0.3435421586036682,0.283809632062912
dual,goldfish,1,18,32.41250228881836,32.41250228881836,0.36173802614212036,0.2793811857700348
dual,goldfish,1,19,33.825618743896484,33.825618743896484,0.38593900203704834,0.27725979685783386
dual,goldfish,2,0,29.970962524414062,29.970962524414062,0.365926593542099,0.28536364436149597
dual,goldfish,2,1,25.66633415222168,25.66633415222168,0.3558332920074463,0.24309659004211426
dual,goldfish,2,2,25.90476417541504,25.904767990112305,0.36662715673446655,0.23007431626319885
dual,goldfish,2,3,27.152755737304688,27.152759552001953,0.38494428992271423,0.24242031574249268
dual,goldfish,2,4,29.189008712768555,29.189008712768555,0.35603657364845276,0.2863910496234894
dual,goldfish,2,5,25.83378028869629,25.83378028869629,0.3776760399341583,0.25653061270713806
dual,goldfish,2,6,25.800064086914062,25.800067901611328,0.39078769087791443,0.24969100952148438
dual,goldfish,2,7,26.810089111328125,26.810089111328125,0.41362830996513367,0.25166556239128113
dual,goldfish,2,8,29.076873779296875,29.076873779296875,0.3540045917034149,0.27857914566993713
dual,goldfish,2,9,26.790807723999023,26.790807723999023,0.3886100947856903,0.2684880495071411
dual,goldfish,2,10,26.50444984436035,26.504453659057617,0.39440351724624634,0.26586034893989563
dual,goldfish,2,11,27.177885055541992,27.177885055541992,0.40863701701164246,0.2660898268222809
dual,goldfish,2,12,30.940078735351562,30.940082550048828,0.3763551115989685,0.288728803396225
dual,goldfish,2,13,27.142520904541016,27.142520904541016,0.37589311599731445,0.2710712254047394
dual,goldfish,2,14,27.897214889526367,27.897214889526367,0.39439326524734497,0.2750491499900818
dual,goldfish,2,15,31.258752822875977,31.258752822875977,0.4326724708080292,0.3115754723548889
dual,goldfish,2,16,28.7779598236084,28.7779598236084,0.3496886193752289,0.2673691511154175
dual,goldfish,2,17,29.095396041870117,29.095396041870117,0.44177109003067017,0.3154287040233612
dual,goldfish,2,18,30.285694122314453,30.285696029663086,0.4736368656158447,0.335226446390152
dual,goldfish,2,19,33.46318435668945,33.46318435668945,0.5206549167633057,0.3520893156528473
dual,goldfish,3,0,37.82695770263672,37.82695770263672,0.3347977101802826,0.2612999677658081
dual,goldfish,3,1,29.94288444519043,29.94288444519043,0.33642929792404175,0.2394627332687378
dual,goldfish,3,2,27.0600643157959,27.0600643157959,0.33295199275016785,0.22676466405391693
