report,branch,block_index,concept,group,similarity_to_target,is_global
raw,dual,15,Wolf,related_animals,0.8426604270935059,0
raw,dual,15,Apple,fruits,0.6350563764572144,0
raw,dual,15,Taylor Swift,fruits,0.6570580005645752,0
raw,dual,16,Doggo,paraphrase_like,0.9480123519897461,0
raw,dual,16,Canine,paraphrase_like,0.9427973031997681,0
raw,dual,16,Lion,related_animals,0.794264554977417,0
raw,dual,16,Wolf,related_animals,0.8454322814941406,0
raw,dual,16,Apple,fruits,0.7160831093788147,0
raw,dual,16,Taylor Swift,fruits,0.6934785842895508,0
raw,dual,17,Doggo,paraphrase_like,0.955852746963501,0
raw,dual,17,Canine,paraphrase_like,0.955475926399231,0
raw,dual,17,Lion,related_animals,0.8183909058570862,0
raw,dual,17,Wolf,related_animals,0.8575714230537415,0
raw,dual,17,Apple,fruits,0.7484931945800781,0
raw,dual,17,Taylor Swift,fruits,0.7300726175308228,0
raw,dual,18,Doggo,paraphrase_like,0.965720534324646,0
raw,dual,18,Canine,paraphrase_like,0.9636173248291016,0
raw,dual,18,Lion,related_animals,0.7918636798858643,0
raw,dual,18,Wolf,related_animals,0.8372136950492859,0
raw,dual,18,Apple,fruits,0.7074877619743347,0
raw,dual,18,Taylor Swift,fruits,0.7009632587432861,0
raw,dual,-1,Doggo,paraphrase_like,0.9377970695495605,1
raw,dual,-1,Canine,paraphrase_like,0.9413425922393799,1
raw,dual,-1,Lion,related_animals,0.8464144468307495,1
raw,dual,-1,Wolf,related_animals,0.8699943423271179,1
raw,dual,-1,Apple,fruits,0.7085279822349548,1
raw,dual,-1,Taylor Swift,fruits,0.6865411400794983,1
raw,single,0,Doggo,paraphrase_like,0.9621137380599976,0
raw,single,0,Canine,paraphrase_like,0.961721658706665,0
raw,single,0,Lion,related_animals,0.7080754041671753,0
raw,single,0,Wolf,related_animals,0.7714309096336365,0
raw,single,0,Apple,fruits,0.5682798624038696,0
raw,single,0,Taylor Swift,fruits,0.5691097378730774,0
raw,single,1,Doggo,paraphrase_like,0.958215594291687,0
raw,single,1,Canine,paraphrase_like,0.9568191170692444,0
raw,single,1,Lion,related_animals,0.7164387702941895,0
raw,single,1,Wolf,related_animals,0.7774194478988647,0
raw,single,1,Apple,fruits,0.5725062489509583,0
raw,single,1,Taylor Swift,fruits,0.599277138710022,0
raw,single,2,Doggo,paraphrase_like,0.9529073238372803,0
raw,single,2,Canine,paraphrase_like,0.9559656381607056,0
raw,single,2,Lion,related_animals,0.6870255470275879,0
raw,single,2,Wolf,related_animals,0.7560272812843323,0
raw,single,2,Apple,fruits,0.5802907943725586,0
raw,single,2,Taylor Swift,fruits,0.5787999629974365,0
raw,single,3,Doggo,paraphrase_like,0.9581965804100037,0
raw,single,3,Canine,paraphrase_like,0.9567146301269531,0
raw,single,3,Lion,related_animals,0.6439156532287598,0
raw,single,3,Wolf,related_animals,0.7126289010047913,0
raw,single,3,Apple,fruits,0.4938563108444214,0
raw,single,3,Taylor Swift,fruits,0.4667378067970276,0
raw,single,4,Doggo,paraphrase_like,0.962949275970459,0
raw,single,4,Canine,paraphrase_like,0.9540599584579468,0
raw,single,4,Lion,related_animals,0.6526446342468262,0
raw,single,4,Wolf,related_animals,0.7096607089042664,0
raw,single,4,Apple,fruits,0.49686193466186523,0
raw,single,4,Taylor Swift,fruits,0.42653974890708923,0
raw,single,5,Doggo,paraphrase_like,0.9595880508422852,0
raw,single,5,Canine,paraphrase_like,0.9526439309120178,0
raw,single,5,Lion,related_animals,0.6067745685577393,0
raw,single,5,Wolf,related_animals,0.7028605937957764,0
raw,single,5,Apple,fruits,0.4804173707962036,0
raw,single,5,Taylor Swift,fruits,0.4793711304664612,0
raw,single,6,Doggo,paraphrase_like,0.9612107872962952,0
raw,single,6,Canine,paraphrase_like,0.9536651968955994,0
