report,branch,block_index,concept,group,similarity_to_target,is_global
cleaned,dual,14,Wolf,related_animals,0.6346553564071655,0
cleaned,dual,14,Apple,fruits,0.5255923271179199,0
cleaned,dual,14,Taylor Swift,fruits,0.4322115182876587,0
cleaned,dual,15,Doggo,paraphrase_like,0.8558707237243652,0
cleaned,dual,15,Canine,paraphrase_like,0.8356029987335205,0
cleaned,dual,15,Lion,related_animals,0.5960798859596252,0
cleaned,dual,15,Wolf,related_animals,0.6546751856803894,0
cleaned,dual,15,Apple,fruits,0.500905454158783,0
cleaned,dual,15,Taylor Swift,fruits,0.46276751160621643,0
cleaned,dual,16,Doggo,paraphrase_like,0.8877681493759155,0
cleaned,dual,16,Canine,paraphrase_like,0.8684165477752686,0
cleaned,dual,16,Lion,related_animals,0.529780387878418,0
cleaned,dual,16,Wolf,related_animals,0.6529335379600525,0
cleaned,dual,16,Apple,fruits,0.5611549615859985,0
cleaned,dual,16,Taylor Swift,fruits,0.5044245719909668,0
cleaned,dual,17,Doggo,paraphrase_like,0.8956670165061951,0
cleaned,dual,17,Canine,paraphrase_like,0.8896394968032837,0
cleaned,dual,17,Lion,related_animals,0.5940983295440674,0
cleaned,dual,17,Wolf,related_animals,0.6692445278167725,0
cleaned,dual,17,Apple,fruits,0.5486047267913818,0
cleaned,dual,17,Taylor Swift,fruits,0.5054283142089844,0
cleaned,dual,18,Doggo,paraphrase_like,0.9238131046295166,0
cleaned,dual,18,Canine,paraphrase_like,0.9241202473640442,0
cleaned,dual,18,Lion,related_animals,0.5507580041885376,0
cleaned,dual,18,Wolf,related_animals,0.6597673892974854,0
cleaned,dual,18,Apple,fruits,0.5729478597640991,0
cleaned,dual,18,Taylor Swift,fruits,0.5162089467048645,0
cleaned,dual,-1,Doggo,paraphrase_like,0.864896833896637,1
cleaned,dual,-1,Canine,paraphrase_like,0.8687275648117065,1
cleaned,dual,-1,Lion,related_animals,0.6695321798324585,1
cleaned,dual,-1,Wolf,related_animals,0.7212080359458923,1
cleaned,dual,-1,Apple,fruits,0.5806112885475159,1
cleaned,dual,-1,Taylor Swift,fruits,0.5027694702148438,1
cleaned,single,0,Doggo,paraphrase_like,0.9256749153137207,0
cleaned,single,0,Canine,paraphrase_like,0.919046938419342,0
cleaned,single,0,Lion,related_animals,0.41113749146461487,0
cleaned,single,0,Wolf,related_animals,0.5432700514793396,0
cleaned,single,0,Apple,fruits,0.43372541666030884,0
cleaned,single,0,Taylor Swift,fruits,0.3942217230796814,0
cleaned,single,1,Doggo,paraphrase_like,0.9239181876182556,0
