kind,block_index,coeff_norm_mean,proj_norm_mean,relative_proj_mean,max_coeff_mean
dual,0,43.90682792663574,43.90682792663574,0.4443904608488083,0.3617013692855835
dual,1,42.11544952392578,42.11544990539551,0.4283758208155632,0.32577830702066424
dual,2,29.333868503570557,29.333869075775148,0.4331324115395546,0.2935548275709152
dual,3,34.706062412261964,34.70606288909912,0.40597096979618075,0.31187676042318346
dual,4,36.67138748168945,36.6713885307312,0.4545312821865082,0.3388503804802895
dual,5,35.07720584869385,35.0772066116333,0.4590280458331108,0.34763637334108355
dual,6,53.75012493133545,53.75012474060058,0.5091337531805038,0.3737017333507538
dual,7,39.66012592315674,39.66012706756592,0.529467648267746,0.3866733223199844
dual,8,45.59575634002685,45.595756912231444,0.4787591055035591,0.34186943620443344
dual,9,51.09352340698242,51.09352397918701,0.538495235145092,0.3756514608860016
dual,10,66.2130807876587,66.21308155059815,0.5470316216349602,0.37773295640945437
dual,11,56.168005561828615,56.16800518035889,0.526100255548954,0.3621496960520744
dual,12,73.22345943450928,73.22345924377441,0.5472491711378098,0.369848370552063
dual,13,59.1212194442749,59.12122135162353,0.5208014637231827,0.3699369579553604
dual,14,52.41811676025391,52.41811599731445,0.5525757953524589,0.39705032855272293
dual,15,36.78884840011597,36.78884801864624,0.5180487513542176,0.38278524577617645
dual,16,56.615256690979,56.61525821685791,0.5219046011567116,0.35759641975164413
dual,17,65.76593990325928,65.7659429550171,0.5106625705957413,0.35703728049993516
dual,18,61.58435897827148,61.58436107635498,0.4794689193367958,0.33923418670892713
single,0,36.41955432891846,36.419554233551025,0.5239800497889519,0.3827656522393227
single,1,31.87748498916626,31.87748556137085,0.49320335388183595,0.35122481137514117
single,2,29.63631401062012,29.636314964294435,0.4985517472028732,0.3568759709596634
single,3,28.362312412261964,28.362314319610597,0.5201709553599357,0.3824870452284813
single,4,26.28938045501709,26.289380836486817,0.4946481168270111,0.3631588563323021
single,5,26.727740669250487,26.727741527557374,0.4985530748963356,0.3760632574558258
single,6,26.340997409820556,26.340997886657714,0.4891423970460892,0.3597771242260933
single,7,21.205099678039552,21.205100345611573,0.467264786362648,0.33918667435646055
single,8,22.30087184906006,22.30087242126465,0.4741417601704597,0.3500541239976883
single,9,23.00737237930298,23.007373332977295,0.4778215616941452,0.3483247205615044
single,10,21.21646385192871,21.216464042663574,0.46716292649507524,0.3402199685573578
single,11,20.245540809631347,20.245541191101076,0.4361807957291603,0.3099166855216026
single,12,18.981613397598267,18.981613445281983,0.42922821789979937,0.3133778885006905
single,13,20.519828176498415,20.519829320907593,0.4248278349637985,0.299123078584671
single,14,20.00093412399292,20.000934314727782,0.4196517109870911,0.29484746754169466
single,15,21.91350212097168,21.913502788543703,0.4124686524271965,0.2981868788599968
single,16,20.387951040267943,20.38795123100281,0.40610082298517225,0.2906287133693695
single,17,18.133923292160034,18.133923387527467,0.38635436445474625,0.2807414583861828
single,18,16.36130166053772,16.36130166053772,0.38932241052389144,0.28573436886072157
single,19,15.069051504135132,15.069051837921142,0.38522844165563586,0.27646766006946566
single,20,16.42727346420288,16.427274465560913,0.37346383184194565,0.27097795009613035
single,21,16.969000339508057,16.9690007686615,0.38545644879341123,0.28121652230620386
single,22,15.313717365264893,15.313717985153199,0.37773793637752534,0.277254718542099
single,23,20.644956064224242,20.644956350326538,0.3861483186483383,0.27723795250058175
single,24,22.34194450378418,22.34194459915161,0.41219999492168424,0.30429578870534896
single,25,20.008599615097047,20.00859990119934,0.37938687205314636,0.2828513473272324
single,26,17.765557765960693,17.76555790901184,0.36802621334791186,0.2571586914360523
single,27,16.356330156326294,16.35633053779602,0.36421377062797544,0.2711166389286518
single,28,16.032976150512695,16.03297667503357,0.3738096162676811,0.2869935020804405
single,29,15.14797945022583,15.14798002243042,0.349193648993969,0.2516776941716671
single,30,17.362216234207153,17.36221652030945,0.3739045575261116,0.2742692641913891
single,31,18.545892572402956,18.54589295387268,0.37169169187545775,0.26534194871783257
single,32,20.767914533615112,20.767915773391724,0.37572376281023023,0.275584102421999
single,33,21.47543869018555,21.47543935775757,0.39844774901866914,0.2928478479385376
single,34,25.384567165374754,25.384568405151366,0.429363976418972,0.30212918668985367
single,35,26.409815788269043,26.40981740951538,0.4614867627620697,0.318013896048069
single,36,23.46693048477173,23.466930866241455,0.48194927126169207,0.3453548029065132
single,37,29.117551708221434,29.117552471160888,0.485297991335392,0.341283330321312
