kind,block_index,coeff_norm_mean,proj_norm_mean,relative_proj_mean,max_coeff_mean
dual,0,47.32479476928711,47.324795722961426,0.48939578980207443,0.41727499663829803
dual,1,49.912583351135254,49.91258697509765,0.5179113492369651,0.4070728659629822
dual,2,32.343614196777345,32.343615436553954,0.40569993704557417,0.29953779876232145
dual,3,42.80591526031494,42.80591659545898,0.45152607858181,0.34656632244586943
dual,4,47.928411674499515,47.92841339111328,0.5036065638065338,0.3808013454079628
dual,5,42.52063808441162,42.52063980102539,0.4954663097858429,0.3890616148710251
dual,6,56.57860221862793,56.57860145568848,0.5124763444066047,0.3994961783289909
dual,7,42.23743724822998,42.23743915557861,0.49054605066776275,0.3612003937363625
dual,8,55.67919235229492,55.679191970825194,0.5481718748807907,0.4102805256843567
dual,9,54.01668930053711,54.016692352294925,0.5399311006069183,0.3916538283228874
dual,10,74.26488704681397,74.26488742828369,0.58195059299469,0.46871814876794815
dual,11,71.46875534057617,71.4687572479248,0.5678621709346772,0.41070905774831773
dual,12,91.48835144042968,91.48835716247558,0.5747218638658523,0.4347099483013153
dual,13,64.9248384475708,64.92484035491944,0.5062172532081604,0.37378228902816774
dual,14,59.40341205596924,59.40341358184814,0.5508703351020813,0.41378249824047086
dual,15,43.76001129150391,43.76001243591308,0.5062824115157127,0.37861373722553254
dual,16,65.63064422607422,65.63064556121826,0.513256311416626,0.3947784185409546
dual,17,80.66512641906738,80.66512908935547,0.4947413831949234,0.36320136338472364
dual,18,98.51715812683105,98.51716003417968,0.5708190634846687,0.4747954308986664
single,0,53.149061393737796,53.14906272888184,0.604548791050911,0.4820940628647804
single,1,50.745167922973636,50.74516716003418,0.603850707411766,0.464351025223732
single,2,45.01122646331787,45.01122760772705,0.6111617714166642,0.47099869698286057
single,3,40.22227487564087,40.222276306152345,0.6105289548635483,0.4675148710608482
single,4,40.10730905532837,40.107308292388915,0.623556187748909,0.49533777087926867
single,5,39.071692848205565,39.07169561386108,0.6436894804239273,0.49956793487071993
single,6,37.85442962646484,37.85442924499512,0.6083219587802887,0.46254108399152755
single,7,32.061671829223634,32.06167201995849,0.6081893742084503,0.45638050734996793
single,8,36.83473072052002,36.83473119735718,0.6233557313680649,0.4882200926542282
single,9,36.12671232223511,36.12671432495117,0.5887414366006851,0.4265966311097145
single,10,33.65446310043335,33.654464149475096,0.6095492362976074,0.46281939893960955
single,11,31.553001117706298,31.553002452850343,0.5758219495415687,0.41269020438194276
single,12,30.538457012176515,30.538457679748536,0.5693000793457031,0.4261431947350502
single,13,30.595508003234862,30.595508670806886,0.5476032853126526,0.40433054119348527
single,14,29.688969612121582,29.688969993591307,0.5058437079191208,0.384229476749897
single,15,30.78010721206665,30.7801082611084,0.49577946662902833,0.3416525572538376
single,16,27.831410217285157,27.83141174316406,0.4731310933828354,0.3399200543761253
single,17,25.758207702636717,25.758207893371583,0.4559685826301575,0.3177500620484352
single,18,22.53541874885559,22.53541941642761,0.46530346423387525,0.3215269774198532
single,19,20.395815229415895,20.395816135406495,0.4561073318123817,0.3132393047213554
single,20,20.970424079895018,20.970424842834472,0.4477471992373466,0.3070864900946617
single,21,18.48854866027832,18.488549423217773,0.42275826781988146,0.3061807952821255
single,22,17.577463912963868,17.57746434211731,0.428782132267952,0.31379704624414445
single,23,19.579509973526,19.579510593414305,0.3949038088321686,0.2935477912425995
single,24,20.010760068893433,20.01076030731201,0.3845790162682533,0.27500227093696594
single,25,23.467929553985595,23.467929744720458,0.43159995377063753,0.31905760765075686
single,26,19.628704261779784,19.62870454788208,0.39253838211297987,0.29519593715667725
single,27,19.394136714935303,19.394137144088745,0.4069094777107239,0.3021452955901623
single,28,19.543988990783692,19.543988704681396,0.4271693229675293,0.32589285001158713
single,29,19.088716411590575,19.08871669769287,0.42011054158210753,0.3099901683628559
single,30,21.46373767852783,21.463738203048706,0.43100610822439195,0.3274147242307663
single,31,21.853325653076173,21.853325653076173,0.41299089342355727,0.3178689256310463
single,32,22.942465686798094,22.942466068267823,0.4215508997440338,0.3127015806734562
single,33,24.376333236694336,24.37633399963379,0.4506625384092331,0.33558242321014403
single,34,25.24720525741577,25.247205352783205,0.4245511531829834,0.31952142864465716
single,35,24.795917892456053,24.79591884613037,0.4318386375904083,0.31261364221572874
single,36,23.494485569000243,23.494486618041993,0.46905981600284574,0.3285875581204891
single,37,28.48516960144043,28.485170459747316,0.45848718732595445,0.3123501382768154
